cluster_id,cluster_name,size,ai_summary,analytical_context,full_narrative,keywords
0,Lenny Dykstra Should Get & Months,2,"The main narrative in the Lenny Dykstra Should Get & Months cluster (2 articles) reveals:  Former New York Mets outfielder Lenny Dykstra received a six and a half-month prison sentence for looting valuables worth hundreds of thousands of dollars from his mansion after he had filed for bankruptcy . Prosecutors say he should be sentenced to 30 months in prison, citing his “arrogant world view .","Coverage Analysis: This story received sporadic coverage over 19 days, characterized by mixed coverage and detailed reporting. Key themes identified: Lenny Dykstra Should Get, Months, Prison, Says Ex, Met Lenny Dykstra Gets. This reflects a notable news event.","The main narrative in the Lenny Dykstra Should Get & Months cluster (2 articles) reveals:  Former New York Mets outfielder Lenny Dykstra received a six and a half-month prison sentence for looting valuables worth hundreds of thousands of dollars from his mansion after he had filed for bankruptcy . Prosecutors say he should be sentenced to 30 months in prison, citing his “arrogant world view .

Coverage Analysis: This story received sporadic coverage over 19 days, characterized by mixed coverage and detailed reporting. Key themes identified: Lenny Dykstra Should Get, Months, Prison, Says Ex, Met Lenny Dykstra Gets. This reflects a notable news event.","Lenny Dykstra Should Get, Months, Prison, Says Ex, Met Lenny Dykstra Gets"
1,Offers & Training,5,The main narrative in the Offers & Training cluster (5 articles) reveals:  Apple agrees to buy online transit-navigation service HopStop.com Inc. Apple seeking to improve mapping tools after rocky debut for directions software last year . Gone from iOS 6 are two formerly built-in Google apps that were integral to previous versions of the operating system: Google Maps and YouT .,"Coverage Analysis: This story received sporadic coverage over 305 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: Offers, Training, Truckers, Avoid Bridges Apple, Gets Glowing Reviews Apple Moves Toward. This reflects a notable news event.","The main narrative in the Offers & Training cluster (5 articles) reveals:  Apple agrees to buy online transit-navigation service HopStop.com Inc. Apple seeking to improve mapping tools after rocky debut for directions software last year . Gone from iOS 6 are two formerly built-in Google apps that were integral to previous versions of the operating system: Google Maps and YouT .

Coverage Analysis: This story received sporadic coverage over 305 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: Offers, Training, Truckers, Avoid Bridges Apple, Gets Glowing Reviews Apple Moves Toward. This reflects a notable news event.","Offers, Training, Truckers, Avoid Bridges Apple, Gets Glowing Reviews Apple Moves Toward"
2,Illinois Soybean Crush Report & July,3,The main narrative in the Illinois Soybean Crush Report & July cluster (3 articles) reveals:  USDA Illinois Soybean Crush Report for Sept. 21 . Weekly prices are supplied by the U.S. Department of Agricultur . This table displays a comparison of soybean prices with the value of soybeans oil and soybean meal for products delivered to central Illinois points during the week ended July 26 .,"Coverage Analysis: This story received sporadic coverage over 308 days, characterized by mixed coverage and concise coverage. Key themes identified: Illinois Soybean Crush Report, July, Sept, sep, sep sep. This reflects a notable news event.","The main narrative in the Illinois Soybean Crush Report & July cluster (3 articles) reveals:  USDA Illinois Soybean Crush Report for Sept. 21 . Weekly prices are supplied by the U.S. Department of Agricultur . This table displays a comparison of soybean prices with the value of soybeans oil and soybean meal for products delivered to central Illinois points during the week ended July 26 .

Coverage Analysis: This story received sporadic coverage over 308 days, characterized by mixed coverage and concise coverage. Key themes identified: Illinois Soybean Crush Report, July, Sept, sep, sep sep. This reflects a notable news event.","Illinois Soybean Crush Report, July, Sept, sep, sep sep"
3,Oil Market News & Solves Its Oil Glut Dilemma Hedge Funds Cut,8,"The main narrative in the Oil Market News & Solves Its Oil Glut Dilemma Hedge Funds Cut cluster (8 articles) reveals:  West Texas Intermediate crude slid from the highest close in six weeks, snapping its longest rally this year . BP may get less than half the $2.85 billion it planned for selling its Texas City refinery . California-blend gasoline on the spot market in Los Angeles strengthened against futures after an area refinery reported a breakdown .","Coverage Analysis: This story received sporadic coverage over 309 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Oil Market News, Solves Its Oil Glut Dilemma Hedge Funds Cut, Brent Crude Net, Longs, Lowest. This reflects a notable news event.","The main narrative in the Oil Market News & Solves Its Oil Glut Dilemma Hedge Funds Cut cluster (8 articles) reveals:  West Texas Intermediate crude slid from the highest close in six weeks, snapping its longest rally this year . BP may get less than half the $2.85 billion it planned for selling its Texas City refinery . California-blend gasoline on the spot market in Los Angeles strengthened against futures after an area refinery reported a breakdown .

Coverage Analysis: This story received sporadic coverage over 309 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Oil Market News, Solves Its Oil Glut Dilemma Hedge Funds Cut, Brent Crude Net, Longs, Lowest. This reflects a notable news event.","Oil Market News, Solves Its Oil Glut Dilemma Hedge Funds Cut, Brent Crude Net, Longs, Lowest"
4,Motor City Revival Means & Fold Return,3,"The main narrative in the Motor City Revival Means & Fold Return cluster (3 articles) reveals:  A two-story brick house in Detroit sold for $47,214 last month, two years after U.S. Bank seized it in a foreclosure . The Motor City was the car capital of the world when David Cole graduated from a Detroit high school in 1955 . Six decades later, the “motor” has mostly moved out, Cole says .","Coverage Analysis: This story received sporadic coverage over 303 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Motor City Revival Means, Fold Return, Home Bet Blue, Collar Vacation, Home Dreams. This reflects a notable news event.","The main narrative in the Motor City Revival Means & Fold Return cluster (3 articles) reveals:  A two-story brick house in Detroit sold for $47,214 last month, two years after U.S. Bank seized it in a foreclosure . The Motor City was the car capital of the world when David Cole graduated from a Detroit high school in 1955 . Six decades later, the “motor” has mostly moved out, Cole says .

Coverage Analysis: This story received sporadic coverage over 303 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Motor City Revival Means, Fold Return, Home Bet Blue, Collar Vacation, Home Dreams. This reflects a notable news event.","Motor City Revival Means, Fold Return, Home Bet Blue, Collar Vacation, Home Dreams"
5,Merkel Diverges From Sarkozy & Greek Default Threat,3,"The main narrative in the Merkel Diverges From Sarkozy & Greek Default Threat cluster (3 articles) reveals:  Euro finance chiefs left unanswered how they’ll fill a fresh hole in Greece’s balance sheet without tapping their own bailout-weary taxpayers for money . The exit of one or more member states from the euro won’t destroy the monetary union or the project of European integration, Czech President Vaclav Klaus said .","Coverage Analysis: This story received sporadic coverage over 404 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Merkel Diverges From Sarkozy, Greek Default Threat, Banks, Euro Credit Europe Gives Greece, More Years. This reflects a notable news event.","The main narrative in the Merkel Diverges From Sarkozy & Greek Default Threat cluster (3 articles) reveals:  Euro finance chiefs left unanswered how they’ll fill a fresh hole in Greece’s balance sheet without tapping their own bailout-weary taxpayers for money . The exit of one or more member states from the euro won’t destroy the monetary union or the project of European integration, Czech President Vaclav Klaus said .

Coverage Analysis: This story received sporadic coverage over 404 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Merkel Diverges From Sarkozy, Greek Default Threat, Banks, Euro Credit Europe Gives Greece, More Years. This reflects a notable news event.","Merkel Diverges From Sarkozy, Greek Default Threat, Banks, Euro Credit Europe Gives Greece, More Years"
6,Peugeot Heirs Invest & Nursing Homes,2,"The main narrative in the Peugeot Heirs Invest & Nursing Homes cluster (2 articles) reveals:  PSA Peugeot Citroen uses up 200 million euros ($260 million) in cash every month . The family that founded the French automaker is getting better returns from alternative investments -- like nursing homes . The acquisition of 7 percent of Orpea, which operates assist assist services .","Coverage Analysis: This story received sporadic coverage over 54 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Peugeot Heirs Invest, Nursing Homes, Automaker Slides Status Takes Back Seat, Crisis Favors Dacia Over Ford, dacia. This reflects a notable news event.","The main narrative in the Peugeot Heirs Invest & Nursing Homes cluster (2 articles) reveals:  PSA Peugeot Citroen uses up 200 million euros ($260 million) in cash every month . The family that founded the French automaker is getting better returns from alternative investments -- like nursing homes . The acquisition of 7 percent of Orpea, which operates assist assist services .

Coverage Analysis: This story received sporadic coverage over 54 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: Peugeot Heirs Invest, Nursing Homes, Automaker Slides Status Takes Back Seat, Crisis Favors Dacia Over Ford, dacia. This reflects a notable news event.","Peugeot Heirs Invest, Nursing Homes, Automaker Slides Status Takes Back Seat, Crisis Favors Dacia Over Ford, dacia"
7,Saab Says Companies & Showing Interest,2,The main narrative in the Saab Says Companies & Showing Interest cluster (2 articles) reveals:  Saab Automobile said companies are ‘showing interest’ in partnering with the Swedish carmaker . The companies have already missed a June 30 deadline on the parts-buying plan . GM and PSA Peugeot Citroen’s efforts to deepen their alliance have slowed recently .,"Coverage Analysis: This story received sporadic coverage over 358 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: Saab Says Companies, Showing Interest, Deal, Peugeot Discussion Said, Slow While Economy Worsens. This reflects a notable news event.","The main narrative in the Saab Says Companies & Showing Interest cluster (2 articles) reveals:  Saab Automobile said companies are ‘showing interest’ in partnering with the Swedish carmaker . The companies have already missed a June 30 deadline on the parts-buying plan . GM and PSA Peugeot Citroen’s efforts to deepen their alliance have slowed recently .

Coverage Analysis: This story received sporadic coverage over 358 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: Saab Says Companies, Showing Interest, Deal, Peugeot Discussion Said, Slow While Economy Worsens. This reflects a notable news event.","Saab Says Companies, Showing Interest, Deal, Peugeot Discussion Said, Slow While Economy Worsens"
8,European Stocks Drop Most Since July Before Spain Budget German Stocks Drop & Plosser Says Bond Buying May Fail Swiss Stocks Drop,3,"The main narrative in the European Stocks Drop Most Since July Before Spain Budget German Stocks Drop & Plosser Says Bond Buying May Fail Swiss Stocks Drop cluster (3 articles) reveals:  German stocks fell the most in almost eight weeks after Federal Reserve Bank of Philadelphia President Charles Plosser said the latest round of quantitative easing probably won’t boost growth or employment in the U.S. Deutsche Bank AG (DBK) sank 6.5 percent as investors disagreed over how Germany’s  investors disagreed . Acciona SA sank 9.9 percent, leading Spanish builders lower a day before the  budget presentation .","Coverage Analysis: This story received intensive daily coverage over 1 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: European Stocks Drop Most Since July Before Spain Budget German Stocks Drop, Plosser Says Bond Buying May Fail Swiss Stocks Drop, Most, Three Weeks, Myriad Tumbles. This reflects a notable news event.","The main narrative in the European Stocks Drop Most Since July Before Spain Budget German Stocks Drop & Plosser Says Bond Buying May Fail Swiss Stocks Drop cluster (3 articles) reveals:  German stocks fell the most in almost eight weeks after Federal Reserve Bank of Philadelphia President Charles Plosser said the latest round of quantitative easing probably won’t boost growth or employment in the U.S. Deutsche Bank AG (DBK) sank 6.5 percent as investors disagreed over how Germany’s  investors disagreed . Acciona SA sank 9.9 percent, leading Spanish builders lower a day before the  budget presentation .

Coverage Analysis: This story received intensive daily coverage over 1 days, characterized by diverse journalistic perspectives and detailed reporting. Key themes identified: European Stocks Drop Most Since July Before Spain Budget German Stocks Drop, Plosser Says Bond Buying May Fail Swiss Stocks Drop, Most, Three Weeks, Myriad Tumbles. This reflects a notable news event.","European Stocks Drop Most Since July Before Spain Budget German Stocks Drop, Plosser Says Bond Buying May Fail Swiss Stocks Drop, Most, Three Weeks, Myriad Tumbles"
9,German Growth Slowed Less Than Forecast & Third Quarter Americans Absorb Payroll,6,The main narrative in the German Growth Slowed Less Than Forecast & Third Quarter Americans Absorb Payroll cluster (6 articles) reveals:  Consumer confidence unexpectedly increased in July to the highest level in six years as Americans’ views of their finances improved . Mexico’s peso reached its strongest level since August 2011 as sputtering U.S. job creation boosted speculation that the Federal Reserve will maintain its record stimulus . Americans are saving less and spending more for purchases such as new automobiles .,"Coverage Analysis: This story received sporadic coverage over 254 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: German Growth Slowed Less Than Forecast, Third Quarter Americans Absorb Payroll, Tax Rise, Keep Spending, Economy Mexico Peso Reaches Strongest Since August. This reflects a notable news event.","The main narrative in the German Growth Slowed Less Than Forecast & Third Quarter Americans Absorb Payroll cluster (6 articles) reveals:  Consumer confidence unexpectedly increased in July to the highest level in six years as Americans’ views of their finances improved . Mexico’s peso reached its strongest level since August 2011 as sputtering U.S. job creation boosted speculation that the Federal Reserve will maintain its record stimulus . Americans are saving less and spending more for purchases such as new automobiles .

Coverage Analysis: This story received sporadic coverage over 254 days, characterized by diverse journalistic perspectives and in-depth analysis. Key themes identified: German Growth Slowed Less Than Forecast, Third Quarter Americans Absorb Payroll, Tax Rise, Keep Spending, Economy Mexico Peso Reaches Strongest Since August. This reflects a notable news event.","German Growth Slowed Less Than Forecast, Third Quarter Americans Absorb Payroll, Tax Rise, Keep Spending, Economy Mexico Peso Reaches Strongest Since August"
